Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,Cauliflower kofta curry (Phoolgobhi kofta curry),300,641.1,1.04,2.62,69.62
Generic/Average Restaurant,Cabbage kofta curry (Pattagobhi kofta curry),300,639.81,0.98,2.87,69.4
Generic/Average Restaurant,Ghiya/Lauki Kofta Curry,300,638.71,0.89,2.71,69.4
Generic/Average Restaurant,Spinach paneer kofta curry (Palak paneer kofta curry),300,606.03,1.43,2.94,65.41
Generic/Average Restaurant,Vegetarian egg kofta curry,300,627.41,1.33,4.26,67.24
Generic/Average Restaurant,Baked vegetables,180,88.99,3.67,8.44,4.44
Generic/Average Restaurant,Cauliflower musallam (Phoolgobhi musallam),120,58.83,1.89,4.48,3.55
Generic/Average Restaurant,Baked vegetables with spinach ,180,77.79,3.22,6.93,4.03
Generic/Average Restaurant,Baked potato with skin ,120,135.77,3.43,11.11,8.5
Generic/Average Restaurant,Shepherd's pie (vegetarian),120,135.63,5.04,12.03,7.3
Generic/Average Restaurant,Baked brinjal in tomato sauce,40,38.63,1.58,4.13,1.62
Generic/Average Restaurant,Dum aloo,180,682.33,0.7,3.33,74.01
Generic/Average Restaurant,Spinach paneer (Palak paneer),180,77.68,4.03,4.43,4.76
Generic/Average Restaurant,Methi chaman,120,475.62,1.54,2.78,50.91
Generic/Average Restaurant,Sarson ka saag,180,87.84,3.0,5.33,5.86
Generic/Average Restaurant,Jackfruit sabzi (Kathal ki sabzi),120,625.4,0.69,3.4,67.6
Generic/Average Restaurant,Avial,120,124.56,2.46,8.47,8.94
Generic/Average Restaurant,Al yakhani,120,147.54,2.86,4.65,13.14
Generic/Average Restaurant,Shahi paneer,180,156.5,5.06,6.64,12.34
Generic/Average Restaurant,Paneer in butter sauce,40,145.61,6.99,9.7,8.81
Generic/Average Restaurant,Methi malai paneer,180,194.98,7.34,8.15,14.76
Generic/Average Restaurant,Chilli paneer,180,777.51,2.1,3.31,84.01
