Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,White sauce (thin),40,115.17,3.31,6.58,8.41
Generic/Average Restaurant,White sauce (medium),40,151.27,3.36,7.98,11.76
Generic/Average Restaurant,White sauce (thick),40,209.69,3.43,10.24,17.19
Generic/Average Restaurant,Cheese sauce,40,194.76,7.68,7.08,15.12
Generic/Average Restaurant,Egg sauce,40,146.85,5.97,5.88,11.08
Generic/Average Restaurant,Mushroom sauce,40,137.56,3.39,7.31,10.51
Generic/Average Restaurant,Mustard sauce,40,158.58,3.98,8.29,12.17
Generic/Average Restaurant,Brown sauce,40,109.18,11.92,5.38,23.67
Generic/Average Restaurant,Classic italian pasta,30,42.12,0.57,4.4,2.45
Generic/Average Restaurant,Pasta spinach sauce,40,85.46,1.76,1.76,7.9
Generic/Average Restaurant,Pasta cheese sauce,40,149.26,4.33,9.0,10.84
Generic/Average Restaurant,Mayonnaise,120,774.86,1.86,1.65,84.52
Generic/Average Restaurant,Low calorie quick mayonnaise,120,242.89,1.41,4.71,24.35
Generic/Average Restaurant,Thousand island dressing,120,407.87,1.37,4.49,42.87
Generic/Average Restaurant,Curd dip,120,79.95,5.04,7.95,3.36
Generic/Average Restaurant,Short crust pastry,120,422.1,6.11,44.72,23.98
Generic/Average Restaurant,Choux pastry,120,222.37,5.55,16.2,14.96
Generic/Average Restaurant,Flaky pastry,120,443.94,4.69,33.61,31.99
Generic/Average Restaurant,Sponge cake ,80,253.77,9.18,44.63,4.74
Generic/Average Restaurant,Glace icing,120,323.51,0.01,86.31,0.01
Generic/Average Restaurant,Royal icing,120,332.58,1.74,86.53,0.02
Generic/Average Restaurant,American frosting,120,257.57,1.05,67.48,0.01
Generic/Average Restaurant,Gum icing,120,223.07,5.94,53.19,0.0
Generic/Average Restaurant,Channa murmura premix,120,339.09,10.59,72.59,3.28
Generic/Average Restaurant,Cracked wheat and green gram dal premix (Dalia moong dal premix),180,362.16,15.89,64.75,5.11
Generic/Average Restaurant,Rice flakes and roasted channa ,150,333.4,10.57,71.94,2.94
Generic/Average Restaurant,Spinach soup in milk ,30,56.72,2.89,3.98,3.2
Generic/Average Restaurant,Vegetable soup,40,55.21,2.22,7.6,1.55
Generic/Average Restaurant,Mashed banana with milk,30,95.43,2.51,14.62,2.99
Generic/Average Restaurant,Poha with curd (Poha aur dahi),120,173.32,6.01,26.72,4.65
Generic/Average Restaurant,Potato with curd,120,73.18,3.19,12.01,1.33
Generic/Average Restaurant,Sweet wheat porridge (Sweet dalia),180,140.66,5.11,23.77,2.79
Generic/Average Restaurant,Vegetable khichdi/khichri,150,143.17,5.61,19.57,4.53
Generic/Average Restaurant,Moong dal mixture,180,158.84,4.62,33.93,1.0
Generic/Average Restaurant,Cracked wheat khichri/khichdi (Dalia khichri/khichdi),150,167.45,7.56,22.35,5.52
Generic/Average Restaurant,Stewed apple,120,91.93,0.17,22.49,0.37
Generic/Average Restaurant,Lemon squash (Nimbu ka squash),120,184.56,0.15,48.88,0.06
Generic/Average Restaurant,Orange squash (Santre ka squash),120,193.26,0.22,50.88,0.04
Generic/Average Restaurant,Lichi squash,120,198.33,0.3,51.96,0.08
Generic/Average Restaurant,Mango squash (Aam ka squash),120,194.66,0.17,50.96,0.17
Generic/Average Restaurant,Pineapple squash (Ananas ka squash),120,195.02,0.16,51.34,0.05
Generic/Average Restaurant,Lemon and ginger squash (Nimbu aur adrak ka squash),120,170.34,0.54,44.06,0.21
Generic/Average Restaurant,Apple jam (Seb ka murabba),120,188.79,0.14,48.56,0.32
Generic/Average Restaurant,Plum jam (Aloo bukhara jam),180,178.89,0.31,46.2,0.19
Generic/Average Restaurant,Pineapple jam ,120,149.18,0.32,38.27,0.15
Generic/Average Restaurant,Guava jelly (Amrood ki jelly),120,115.74,1.11,28.18,0.25
Generic/Average Restaurant,Orange marmalade (Santray ka murabba),120,104.17,0.66,25.94,0.13
Generic/Average Restaurant,Carrot murabba (Gajar ka murabba),120,175.24,0.32,45.6,0.16
Generic/Average Restaurant,Gooseberry marmalade (Amla murabba),120,123.16,0.14,32.34,0.03
Generic/Average Restaurant,Ginger candy (Adrak ki candy),120,195.71,0.69,50.38,0.27
Generic/Average Restaurant,Mango pickle (Aam ka achaar),40,192.12,1.6,8.11,17.89
Generic/Average Restaurant,Mixed vegetable pickle (Sabziyoon ka achaar),40,211.2,1.9,7.48,19.68
Generic/Average Restaurant,Sweet lemon pickle (Neembu ka meetha achaar),40,69.54,1.22,16.87,0.21
Generic/Average Restaurant,Plum chutney (Aloo bukhara ki chutney),40,177.11,0.47,44.95,0.29
Generic/Average Restaurant,Raw mango chutney (Kachhe aam/Kairi ki chutney),40,193.13,0.51,49.94,0.16
Generic/Average Restaurant,Tomato sauce,40,34.33,0.81,7.23,0.27
Generic/Average Restaurant,Tomato puree,120,20.62,0.75,3.68,0.25
Generic/Average Restaurant,Garam masala,40,254.21,9.89,26.2,10.97
Generic/Average Restaurant,Chat masala,40,222.58,8.19,23.87,9.91
Generic/Average Restaurant,Kashmiri masala,40,389.02,8.26,23.16,31.03
Generic/Average Restaurant,Rasam powder (Rasam masala),40,267.96,12.04,25.19,11.8
Generic/Average Restaurant,Sambar powder (Sambar masala),40,297.46,12.5,23.38,15.58
Generic/Average Restaurant,Tartare sauce,40,610.93,1.44,2.96,66.12
Generic/Average Restaurant,Barbeque sauce,40,121.93,0.96,20.46,4.51
Generic/Average Restaurant,Bread sauce,40,111.04,3.46,8.69,7.05
Generic/Average Restaurant,Green chilli sauce,40,46.06,1.25,7.36,0.27
Generic/Average Restaurant,Home made plain noodles,150,238.78,6.21,44.5,3.56
Generic/Average Restaurant,Dal moong,180,43.69,2.2,4.92,1.62
Generic/Average Restaurant,Cumin seeds baghar (Jeera baghar/tadka),40,736.81,3.34,5.22,78.77
Generic/Average Restaurant,Onion tomato baghar (Pyaaz tamatar ka tadka),120,137.52,1.26,6.17,11.98
Generic/Average Restaurant,Mustard seeds baghar (Mustard seed tadka),40,552.59,4.73,10.45,54.3
Generic/Average Restaurant,Hot cherry sauce,40,252.74,0.13,67.95,0.07
Generic/Average Restaurant,Apple jelly (Seb ki jelly),120,152.13,0.1,39.37,0.21
Generic/Average Restaurant,Marmalade (Murabba),120,143.76,0.23,37.64,0.04
Generic/Average Restaurant,Plum squash (Aloo bukhara squash),180,211.17,0.16,55.51,0.1
Generic/Average Restaurant,Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),40,14.07,0.85,2.14,0.24
Generic/Average Restaurant,Brinjal pickle (Baingan ka achaar),40,139.01,2.24,4.23,12.98
Generic/Average Restaurant,Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),40,60.88,1.26,6.55,3.24
Generic/Average Restaurant,Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),40,91.21,1.98,6.32,6.55
Generic/Average Restaurant,Tomato chutney (Tamatar ki chutney),40,176.07,0.97,31.85,6.01
Generic/Average Restaurant,Tomato ketchup,40,33.07,0.91,6.48,0.3
Generic/Average Restaurant,Bengal 5 Spice Blend (Panch Phoran),40,289.79,18.26,20.0,22.16
